location_id,Name,long_deg,lon_min,lon_sec,lat_deg,lat_min,lat_sec,longitude,latitude,p_1880,p_1890,p_1900,p_1910,G_1880,S_1880,G_1890,S_1890,D_1900,S_1900,G_1910,S_1910,prob,places,
1087,Filfing,14,33,25,46,50,52,14.5569,46.8478,259,259,247,228,259,0,259,0,247,0,228,0,1,Nötsch,#DIV/0!
1088,Grünburg,14,34,56,46,51,22,14.5822,46.8561,1944,1954,1964,1974,88,0,81,0,70,0,53,0,0.0452674897,Poglantschach,#DIV/0!
1089,Klein-St. Paul,14,32,35,46,50,9,14.5431,46.8358,123,158,219,296,123,0,158,0,219,0,296,0,1,Saak,#DIV/0!
1090,Ober-St. Paul (coord. of Klein St. Paul),14,32,35,46,50,9,14.5431,46.8358,77,56,32,105,77,0,56,0,32,0,105,0,1,Semering,#DIV/0!
1091,Unter-St. Paul (coord. of Klein St. Paul),14,32,35,46,50,9,14.5431,46.8358,131,88,91,118,131,0,88,0,91,0,118,0,1,Wertschach,#DIV/0!
1092,Prailing left border,14,34,22,46,49,26,14.5728,46.8239,92,81,90,70,92,0,81,0,90,0,70,0,1,Achomitz,#N/A
1093,Prailing right border,14,34,48,46,50,51,14.58,46.8475,91,80,90,69,91,0,80,0,90,0,69,0,1,Draschitz,#DIV/0!
1094,Sittenberg,14,32,5,46,49,18,14.5347,46.8217,167,126,146,243,167,0,126,0,146,0,243,0,1,Dreulach,#DIV/0!
1095,Wietersdorf,14,31,55,46,51,5,14.5319,46.8514,13,8,41,68,13,0,8,0,41,0,68,0,1,Feistritz an der Gail,#DIV/0!
1096,,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Göriach,#DIV/0!
1097,,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Hohenthurn,#DIV/0!
1098,Gerichtsbezirk Wolfsberg,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Stossau,0.1304347826
1099,Gemeinde St. Andrä,,,,,,,,,1207,1249,1280,1383,1207,0,1248,1,1274,6,1383,0,1,Aich,#N/A
1100,Ober-Agsdorf,14,48,17,46,46,9,14.8047,46.7692,32,33,30,35,32,0,33,0,30,0,35,0,1,Augsdorf,#N/A
1101,St. Andrä,14,49,22,46,45,54,14.8228,46.765,769,773,773,835,769,0,772,1,767,6,835,0,1,Bach,#N/A
1102,Blaiken,14,49,51,46,45,54,14.8308,46.765,203,223,257,270,203,0,223,0,257,0,270,0,1,Bergl,#N/A
1103,Burgstall left border,14,47,43,46,46,1,14.7953,46.7669,42,48,46,53,42,0,48,0,46,0,53,0,1,Dieschitz,#DIV/0!
1104,Burgstall right border,14,48,37,46,45,1,14.8103,46.7503,41,47,45,53,41,0,47,0,45,0,53,0,1,Drau,#DIV/0!
1105,Langen,14,48,15,46,45,58,14.8042,46.7661,1945,1955,1965,1975,11,0,20,0,10,0,11,0,0.005655527,Duel,#DIV/0!
1106,Wölzing,14,49,22,46,46,13,14.8228,46.7703,109,105,119,126,109,0,105,0,119,0,126,0,1,St. Egyden,0
1107,,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Emersdorf,#DIV/0!
1108,Gerichtsbezirk St. Paul,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Fahrendorf,#DIV/0!
1109,Gemeinde St. Paul,14,52,51,46,42,3,14.8808,46.7008,800,940,982,1179,777,23,933,7,981,1,1171,8,0.97125,Föderlach (Föderlach I),#DIV/0!
